name,ttl,type,value
"wellnesscentreasma.com","3600","NETLIFY","wellnesscentreasma.netlify.app"
"www.wellnesscentreasma.com","3600","NETLIFY","wellnesscentreasma.netlify.app"
"wellnesscentreasma.com","3600","NETLIFYv6","wellnesscentreasma.netlify.app"
"www.wellnesscentreasma.com","3600","NETLIFYv6","wellnesscentreasma.netlify.app"
